,erm_test_risk,erm_train_risk,reg_L2_test_risk,reg_L2_train_risk,test_risk,train_risk
alpha=100000.0/batch_size=100/data=letter/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.2639999985694885,0.2534999847412109,0.2719999849796295,0.2551999986171722,0.2690999805927276,0.2583000063896179
alpha=100000.0/batch_size=100/data=letter/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.2639999985694885,0.2534999847412109,0.2689000070095062,0.2557999789714813,0.2802999913692474,0.2680000066757202
alpha=100000.0/batch_size=100/data=letter/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.2639999985694885,0.2534999847412109,0.2745999991893768,0.2606000006198883,0.2746999859809875,0.2626000046730041
alpha=100000.0/batch_size=100/data=letter/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.2703999876976013,0.2583000063896179,0.2689000070095062,0.2557999789714813,0.2626000046730041,0.2524999976158142
alpha=100000.0/batch_size=100/data=adult/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=1.0/seed=0/width_size=600,0.1657600253820419,0.1669541299343109,0.2068904489278793,0.2065366357564926,0.1658484786748886,0.166556105017662
alpha=100000.0/batch_size=100/data=letter/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.2639999985694885,0.2534999847412109,0.2719999849796295,0.2551999986171722,0.2750000059604645,0.258899986743927
alpha=100000.0/batch_size=100/data=letter/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.2703999876976013,0.2583000063896179,0.2662000060081482,0.2549999952316284,0.2672999799251556,0.2595999836921692
alpha=100000.0/batch_size=100/data=adult/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=1.0/seed=0/width_size=600,0.1657600253820419,0.1669541299343109,0.2476228326559066,0.24806509912014,0.166556105017662,0.1670425832271576
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.0,0.0,0.0,0.0,0.0002461841504555,0.0
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.0,0.0,0.0,0.0,0.000984736601822,0.0
alpha=100000.0/batch_size=100/data=letter/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.2703999876976013,0.2583000063896179,0.2719999849796295,0.2551999986171722,0.2742999792098999,0.2602999806404114
